name                                                                                                         ,brand                  ,price       ,image                                                                                                                                                                                                                                                                     ,link
Умывальник с пьедесталом Оскольская керамика Престиж 63 белый                                                ,Оскольская керамика    ,4060.0000   ,https://glavsnab.net/media/catalog/product/cache/1/small_image/154x/602f0fa2c1f0d1ba5e241f914e856ff9/0/1/01_44_125.jpg?kar=1&kf=1&kt=1&co=1&rgb%5B0%5D=255&rgb%5B1%5D=255&rgb%5B2%5D=255&ang=ang&qua=90                                                                   ,https://glavsnab.net/umyvalnik-s-pedestalom-prestizh-63-belyy-oskolskaya-keramika.html

Раковина встраиваемая Cersanit Como 40 S-UM-COM40/1-w 400х220 мм                                             ,Cersanit               ,3690.0000   ,https://glavsnab.net/media/catalog/product/cache/1/small_image/154x/602f0fa2c1f0d1ba5e241f914e856ff9/b/a/basins_side_view_como_um-com40_1_qnumpq2lq3gxrsaoz6q.jpg?kar=1&kf=1&kt=1&co=1&rgb%5B0%5D=255&rgb%5B1%5D=255&rgb%5B2%5D=255&ang=ang&qua=90                        ,https://glavsnab.net/rakovina-vstraivaemaya-cersanit-como-40-s-um-com40-1-w-400h220-mm.html

Раковина Aqwella 5 звезд Инфинити Inf.08.04.D 800х400 мм                                                     ,Aqwella 5 звезд        ,9537.0000   ,https://glavsnab.net/media/catalog/product/cache/1/small_image/154x/602f0fa2c1f0d1ba5e241f914e856ff9/i/n/inf.08.04.d.jpg?kar=1&kf=1&kt=1&co=1&rgb%5B0%5D=255&rgb%5B1%5D=255&rgb%5B2%5D=255&ang=ang&qua=90                                                                 ,https://glavsnab.net/rakovina-aqwella-infinity-inf-08-04-d-800h400-mm.html

Раковина-чаша Laufen Pro B 8.1296.4.000.109.1 520х390 мм                                                     ,Laufen                 ,16308.0000  ,https://glavsnab.net/media/catalog/product/cache/1/small_image/154x/602f0fa2c1f0d1ba5e241f914e856ff9/8/-/8-1296-4-000-109-1.jpg?kar=1&kf=1&kt=1&co=1&rgb%5B0%5D=255&rgb%5B1%5D=255&rgb%5B2%5D=255&ang=ang&qua=90                                                          ,https://glavsnab.net/rakovina-chasha-laufen-pro-b-8-1296-4-000-109-1-520h390-mm.html

Умывальник с пьедесталом Оскольская керамика Престиж 63 белый                                                ,Оскольская керамика    ,4060.0000   ,https://glavsnab.net/media/catalog/product/cache/1/small_image/154x/602f0fa2c1f0d1ba5e241f914e856ff9/0/1/01_44_125.jpg?kar=1&kf=1&kt=1&co=1&rgb%5B0%5D=255&rgb%5B1%5D=255&rgb%5B2%5D=255&ang=ang&qua=90                                                                   ,https://glavsnab.net/umyvalnik-s-pedestalom-prestizh-63-belyy-oskolskaya-keramika.html

Умывальник подвесной Браво 50 без отверстия п/смес белый Лобненский стройфарфор                              ,Лобненский Cтройфарфор ,1615.0000   ,https://glavsnab.net/media/catalog/product/cache/1/small_image/154x/602f0fa2c1f0d1ba5e241f914e856ff9/7/7/77048e23ec8dcd8dcdecf7f16d12901a.jpg?kar=1&kf=1&kt=1&co=1&rgb%5B0%5D=255&rgb%5B1%5D=255&rgb%5B2%5D=255&ang=ang&qua=90                                            ,https://glavsnab.net/umyvalnik-podvesnoy-bravo-50-bez-otverstiya-p-smes-belyy-lobnenskiy-stroyfarfor.html

Умывальник подвесной Мотив 45 смеситель с левой стороны белый Лобненский стройфарфор                         ,Лобненский Cтройфарфор ,1148        ,https://glavsnab.net/media/catalog/product/cache/1/small_image/154x/602f0fa2c1f0d1ba5e241f914e856ff9/1/f/1f0bff917b426691dce1e15053883ba6.jpg?kar=1&kf=1&kt=1&co=1&rgb%5B0%5D=255&rgb%5B1%5D=255&rgb%5B2%5D=255&ang=ang&qua=90                                            ,https://glavsnab.net/umyvalnik-podvesnoy-motiv-45-smesitel-s-levoy-storony-belyy-lobnenskiy-stroyfarfor.html

Раковина подвесная Santek Бриз 40R 1WH110445 385х360 мм                                                      ,Santek                 ,1721.0000   ,https://glavsnab.net/media/catalog/product/cache/1/small_image/154x/602f0fa2c1f0d1ba5e241f914e856ff9/5/9/59b75457afaf8b483a645c6eca60758a44e71783.wm__2.jpg?kar=1&kf=1&kt=1&co=1&rgb%5B0%5D=255&rgb%5B1%5D=255&rgb%5B2%5D=255&ang=ang&qua=90                              ,https://glavsnab.net/rakovina-santek-briz-40-pravostoronnyaya-wh110445.html

Умывальник Santek Анимо 55 1.WH11.0.502 белый                                                                ,Santek                 ,2081.0000   ,https://glavsnab.net/media/catalog/product/cache/1/small_image/154x/602f0fa2c1f0d1ba5e241f914e856ff9/s/m/smesitel_109.jpg?kar=1&kf=1&kt=1&co=1&rgb%5B0%5D=255&rgb%5B1%5D=255&rgb%5B2%5D=255&ang=ang&qua=90                                                                ,https://glavsnab.net/umivalnik-santek-animo-55-1-wh11-0-502-beliy.html

Умывальник подвесной Антей 55 УмОв2Ф с переливом Лобненский стройфарфор 10/1/5/1-76                          ,Лобненский Cтройфарфор ,1346        ,https://glavsnab.net/media/catalog/product/cache/1/small_image/154x/602f0fa2c1f0d1ba5e241f914e856ff9/a/8/a84fccf87394ea88100fbd1db2e6e93a.jpg?kar=1&kf=1&kt=1&co=1&rgb%5B0%5D=255&rgb%5B1%5D=255&rgb%5B2%5D=255&ang=ang&qua=90                                            ,https://glavsnab.net/umyvalnik-podvesnoy-antey-55-umov2f-s-perelivom-lobnenskiy-stroyfarfor-10-1-5-1-76.html

Умывальник подвесной Водолей 57 без отверстия п/смес белый Лобненский стройфарфор                            ,Лобненский Cтройфарфор ,1268        ,https://glavsnab.net/media/catalog/product/cache/1/small_image/154x/602f0fa2c1f0d1ba5e241f914e856ff9/8/9/89d348caa39fbbf132b44f04addd8e55.jpg?kar=1&kf=1&kt=1&co=1&rgb%5B0%5D=255&rgb%5B1%5D=255&rgb%5B2%5D=255&ang=ang&qua=90                                            ,https://glavsnab.net/umyvalnik-podvesnoy-vodoley-57-bez-otverstiya-p-smes-belyy-lobnenskiy-stroyfarfor.html

Раковина встраиваемая Cersanit Como 80 S-UM-COM80/1-w 800х450 мм                                             ,Cersanit               ,6490.0000   ,https://glavsnab.net/media/catalog/product/cache/1/small_image/154x/602f0fa2c1f0d1ba5e241f914e856ff9/b/a/basins_side_view_como_um-com80_1_qnumpq2lq3gxrsaoz6q.jpg?kar=1&kf=1&kt=1&co=1&rgb%5B0%5D=255&rgb%5B1%5D=255&rgb%5B2%5D=255&ang=ang&qua=90                        ,https://glavsnab.net/rakovina-vstraivaemaya-cersanit-como-80-s-um-com80-1-w-800h450-mm.html

Пьедестал Jika Zeta 8193910000001                                                                            ,Jika                   ,2552.0000   ,https://glavsnab.net/media/catalog/product/cache/1/small_image/154x/602f0fa2c1f0d1ba5e241f914e856ff9/v/e/vesfesf_1.jpg?kar=1&kf=1&kt=1&co=1&rgb%5B0%5D=255&rgb%5B1%5D=255&rgb%5B2%5D=255&ang=ang&qua=90                                                                   ,https://glavsnab.net/pedestal-jika-zeta-8193910000001.html

Раковина подвесная Santeri Соната 54                                                                         ,Santeri                ,1768        ,https://glavsnab.net/media/catalog/product/cache/1/small_image/154x/602f0fa2c1f0d1ba5e241f914e856ff9/8/a/8a76a465a3c4a958f5efc28c5bba0bbf_1_.jpg?kar=1&kf=1&kt=1&co=1&rgb%5B0%5D=255&rgb%5B1%5D=255&rgb%5B2%5D=255&ang=ang&qua=90                                         ,https://glavsnab.net/rakovina-podvesnaya-santeri-sonata-54.html

Раковина подвесная Sanita Luxe Best BSTSLWB01 550х445 мм                                                     ,Sanita                 ,2252.0000   ,https://glavsnab.net/media/catalog/product/cache/1/small_image/154x/602f0fa2c1f0d1ba5e241f914e856ff9/5/5/55554544.jpg?kar=1&kf=1&kt=1&co=1&rgb%5B0%5D=255&rgb%5B1%5D=255&rgb%5B2%5D=255&ang=ang&qua=90                                                                    ,https://glavsnab.net/rakovina-podvesnaya-sanita-luxe-best-bstslwb01-550h445-mm.html

Раковина подвесная Santek Бриз 40L 1WH110442 385х360 мм                                                      ,Santek                 ,1721.0000   ,https://glavsnab.net/media/catalog/product/cache/1/small_image/154x/602f0fa2c1f0d1ba5e241f914e856ff9/s/a/santek_gallery_36_995974_2_3.jpg?kar=1&kf=1&kt=1&co=1&rgb%5B0%5D=255&rgb%5B1%5D=255&rgb%5B2%5D=255&ang=ang&qua=90                                                ,https://glavsnab.net/rakovina-santek-briz-40-levostoronnyaya-wh110439.html

Раковина Grohe Cube Ceramic 3948000H                                                                         ,Grohe                  ,37951.0000  ,https://glavsnab.net/media/catalog/product/cache/1/small_image/154x/602f0fa2c1f0d1ba5e241f914e856ff9/1/_/1_353_16.jpg?kar=1&kf=1&kt=1&co=1&rgb%5B0%5D=255&rgb%5B1%5D=255&rgb%5B2%5D=255&ang=ang&qua=90                                                                    ,https://glavsnab.net/rakovina-grohe-cube-ceramic-3948000h.html

Умывальник мебельный НЕО 55 белый Santek 1.WH30.2.185                                                        ,Santek                 ,3450.0000   ,https://glavsnab.net/media/catalog/product/cache/1/small_image/154x/602f0fa2c1f0d1ba5e241f914e856ff9/0/9/09b9ee5ab286738582330dc8e1471156.jpg?kar=1&kf=1&kt=1&co=1&rgb%5B0%5D=255&rgb%5B1%5D=255&rgb%5B2%5D=255&ang=ang&qua=90                                            ,https://glavsnab.net/umyvalnik-mebelnyy-neo-55-belyy-santek-1-wh30-2-185.html

Мини-раковина Grohe Euro Ceramic 39324000 450х400 мм                                                         ,Grohe                  ,15291.0000  ,https://glavsnab.net/media/catalog/product/cache/1/small_image/154x/602f0fa2c1f0d1ba5e241f914e856ff9/b/b/bbd58368-ff62-11e7-baa6-000d3a2b6ec6.jpg?kar=1&kf=1&kt=1&co=1&rgb%5B0%5D=255&rgb%5B1%5D=255&rgb%5B2%5D=255&ang=ang&qua=90                                        ,https://glavsnab.net/mini-rakovina-grohe-euro-ceramic-39324000-450h400-mm.html

